origin,destination,carrier,class,points
Northern South America,Northern South America,United Airlines,first,20000
Northern South America,Southern South America,United Airlines,economy,20000
Northern South America,Southern South America,United Airlines,first,40000
Northern South America,Europe,United Airlines,economy,40000
Northern South America,Europe,United Airlines,first,70000
Northern South America,Middle East,United Airlines,economy,50000
Northern South America,Middle East,United Airlines,first,75000
Northern South America,Northern Africa,United Airlines,economy,55000
Northern South America,Northern Africa,United Airlines,first,80000
Northern South America,Central & Southern Africa,United Airlines,economy,60000
Northern South America,Central & Southern Africa,United Airlines,first,85000
Northern South America,North Asia,United Airlines,economy,45000
Northern South America,North Asia,United Airlines,first,75000
Northern South America,Central Asia,United Airlines,economy,55000
Northern South America,Central Asia,United Airlines,first,80000
Northern South America,South Asia,United Airlines,economy,50000
Northern South America,South Asia,United Airlines,first,85000
Northern South America,Japan,United Airlines,economy,45000
Northern South America,Japan,United Airlines,first,75000
Northern South America,Oceania,United Airlines,economy,50000
Northern South America,Oceania,United Airlines,first,85000
Southern South America,North America,United Airlines,economy,30000
Southern South America,North America,United Airlines,first,60000
Southern South America,Mexico,United Airlines,economy,25000
Southern South America,Mexico,United Airlines,first,45000
Southern South America,Caribbean,United Airlines,economy,20000
Southern South America,Caribbean,United Airlines,first,40000
Southern South America,Central America,United Airlines,economy,20000
Southern South America,Central America,United Airlines,first,40000
Southern South America,Northern South America,United Airlines,economy,20000
Southern South America,Northern South America,United Airlines,first,40000
Southern South America,Southern South America,United Airlines,economy,8000
Southern South America,Southern South America,United Airlines,first,25000
Southern South America,Europe,United Airlines,economy,47500
Southern South America,Europe,United Airlines,first,77500
Southern South America,Middle East,United Airlines,economy,60000
Southern South America,Middle East,United Airlines,first,80000
Southern South America,Northern Africa,United Airlines,economy,30000
Southern South America,Northern Africa,United Airlines,first,87500
Southern South America,Central & Southern Africa,United Airlines,economy,35000
Southern South America,Central & Southern Africa,United Airlines,first,92500
Southern South America,North Asia,United Airlines,economy,55000
Southern South America,North Asia,United Airlines,first,75000
Southern South America,Central Asia,United Airlines,economy,65000
Southern South America,Central Asia,United Airlines,first,85000
Southern South America,South Asia,United Airlines,economy,55000
Southern South America,South Asia,United Airlines,first,85000
Southern South America,Japan,United Airlines,economy,55000
Southern South America,Japan,United Airlines,first,75000
Southern South America,Oceania,United Airlines,economy,60000
Southern South America,Oceania,United Airlines,first,80000
Europe,North America,United Airlines,economy,30000
Europe,North America,United Airlines,first,60000
Europe,Mexico,United Airlines,economy,35000
Europe,Mexico,United Airlines,first,65000
Europe,Caribbean,United Airlines,economy,35000
Europe,Caribbean,United Airlines,first,65000
Europe,Central America,United Airlines,economy,35000
Europe,Central America,United Airlines,first,65000
Europe,Northern South America,United Airlines,economy,40000
Europe,Northern South America,United Airlines,first,70000
Europe,Southern South America,United Airlines,economy,47500
Europe,Southern South America,United Airlines,first,77500
Europe,Europe,United Airlines,economy,8000
Europe,Europe,United Airlines,first,25000
Europe,Middle East,United Airlines,economy,25000
Europe,Middle East,United Airlines,first,40000
Europe,Northern Africa,United Airlines,economy,25000
Europe,Northern Africa,United Airlines,first,40000
Europe,Central & Southern Africa,United Airlines,economy,30000
Europe,Central & Southern Africa,United Airlines,first,45000
Europe,North Asia,United Airlines,economy,45000
Europe,North Asia,United Airlines,first,65000
Europe,Central Asia,United Airlines,economy,30000
